           h                   log(h)                     E(h)
1.715266e-004 -8.670772e+000 1.925002e-004
1.718213e-004 -8.669056e+000 1.928310e-004
1.721170e-004 -8.667336e+000 1.931630e-004
1.724138e-004 -8.665613e+000 1.934960e-004
1.727116e-004 -8.663888e+000 1.938302e-004
1.730104e-004 -8.662159e+000 1.941656e-004
1.733102e-004 -8.660427e+000 1.945022e-004
1.736111e-004 -8.658693e+000 1.948399e-004
1.739130e-004 -8.656955e+000 1.951787e-004
1.742160e-004 -8.655214e+000 1.955188e-004
1.745201e-004 -8.653471e+000 1.958601e-004
1.748252e-004 -8.651724e+000 1.962025e-004
1.751313e-004 -8.649974e+000 1.965461e-004
1.754386e-004 -8.648221e+000 1.968910e-004
1.757469e-004 -8.646466e+000 1.972370e-004
1.760563e-004 -8.644707e+000 1.975843e-004
1.763668e-004 -8.642944e+000 1.979328e-004
1.766784e-004 -8.641179e+000 1.982826e-004
1.769912e-004 -8.639411e+000 1.986335e-004
1.773050e-004 -8.637639e+000 1.989858e-004
1.776199e-004 -8.635865e+000 1.993392e-004
1.779359e-004 -8.634087e+000 1.996939e-004
1.782531e-004 -8.632306e+000 2.000499e-004
1.785714e-004 -8.630522e+000 2.004072e-004
1.788909e-004 -8.628735e+000 2.007657e-004
1.792115e-004 -8.626944e+000 2.011256e-004
1.795332e-004 -8.625150e+000 2.014867e-004
1.798561e-004 -8.623353e+000 2.018491e-004
1.801802e-004 -8.621553e+000 2.022128e-004
1.805054e-004 -8.619750e+000 2.025779e-004
1.808318e-004 -8.617943e+000 2.029442e-004
1.811594e-004 -8.616133e+000 2.033119e-004
1.814882e-004 -8.614320e+000 2.036809e-004
1.818182e-004 -8.612503e+000 2.040513e-004
1.821494e-004 -8.610684e+000 2.044230e-004
1.824818e-004 -8.608860e+000 2.047961e-004
1.828154e-004 -8.607034e+000 2.051705e-004
1.831502e-004 -8.605204e+000 2.055463e-004
1.834862e-004 -8.603371e+000 2.059235e-004
1.838235e-004 -8.601534e+000 2.063021e-004
1.841621e-004 -8.599694e+000 2.066820e-004
1.845018e-004 -8.597851e+000 2.070634e-004
1.848429e-004 -8.596004e+000 2.074462e-004
1.851852e-004 -8.594154e+000 2.078304e-004
1.855288e-004 -8.592301e+000 2.082160e-004
1.858736e-004 -8.590444e+000 2.086030e-004
1.862197e-004 -8.588583e+000 2.089915e-004
1.865672e-004 -8.586719e+000 2.093815e-004
1.869159e-004 -8.584852e+000 2.097729e-004
1.872659e-004 -8.582981e+000 2.101658e-004
1.876173e-004 -8.581107e+000 2.105601e-004
1.879699e-004 -8.579229e+000 2.109559e-004
1.883239e-004 -8.577347e+000 2.113532e-004
1.886792e-004 -8.575462e+000 2.117521e-004
1.890359e-004 -8.573574e+000 2.121524e-004
1.893939e-004 -8.571681e+000 2.125542e-004
1.897533e-004 -8.569786e+000 2.129576e-004
1.901141e-004 -8.567886e+000 2.133625e-004
1.904762e-004 -8.565983e+000 2.137689e-004
1.908397e-004 -8.564077e+000 2.141769e-004
1.912046e-004 -8.562167e+000 2.145865e-004
1.915709e-004 -8.560253e+000 2.149976e-004
1.919386e-004 -8.558335e+000 2.154103e-004
1.923077e-004 -8.556414e+000 2.158246e-004
1.926782e-004 -8.554489e+000 2.162405e-004
1.930502e-004 -8.552560e+000 2.166580e-004
1.934236e-004 -8.550628e+000 2.170771e-004
